Name,Price,Location,Model_Year,Mileage,Fuel_Type,Gearbox,Gearbox2
MG ZS EV LHD 45KWH LUXURY MY21,149900kr,"212 37 Malmö, Skåne",2020,1950 mil,Electric,≈ 263 km,Automatic
MG ZS EV 45KWH LUXURY *0% Räntekampanj,149900kr,"212 37 Malmö, Skåne",2021,4354 mil,Electric,≈ 263 km,Automatic
MG ZS EV 45KWH LUXURY *0% Räntekampanj,149900kr,"212 37 Malmö, Skåne",2021,2720 mil,Electric,≈ 263 km,Automatic
MG ZS EV 45kwh LUXUARY,149900kr,"212 37 Malmö, Skåne",2021,6833 mil,Electric,≈ 263 km,Automatic
Kia e-Niro ADVANCE 204 Hk 64 kWh Privatleasing fr 4.595 Kr,259900kr,"141 74 Segeltorp, Stockholm",2021,4057 mil,Electric,≈ 455 km,Automatic
MG ZS EV Luxury Moms 1 Ägare,149900kr,"441 39 Alingsås, Västra Götaland",2021,4000 mil,Electric,Automatic,50 kW (68 HP)
Ford Kuga ST-Line X 2.5 pHev 243hk,509900kr,"291 50 Kristianstad, Skåne",2025,1 mil,2.5L Hybrid,Automatic,243 HP (178 kW)
Ford Kuga ST-Line X Plug-in Hybrid | Elstol | B&O Sound,294900kr,"749 47 Enköping, Uppsala",2022,5865 mil,2.5L Hybrid,Automatic,153 HP (112 kW)
Nissan Leaf LeafE+ N-CONNECTA MY21 62 KWH LED,204900kr,"749 47 Enköping, Uppsala",2021,5025 mil,Electric,≈ 385 km,Automatic
"Ford Kuga MCA TITANIUM SUV AWD, 150HK (diesel)",214900kr,"152 42 Södertälje, Stockholm",2019,8105 mil,2.0L Diesel,Automatic,150 HP (110 kW)
Nissan Leaf E+ TEKNA 62 KWH KAMPANJRÄNTA 0%,209900kr,"754 54 Uppsala, Uppsala",2021,5210 mil,Electric,≈ 385 km,Automatic
Ford Focus Active Kombi 1.0 125hk Automat,169900kr,"302 41 Halmstad, Halland",Oct 2021,4500 mil,1.0L Petrol,Manual,126 HP (92 kW)
Ford Focus Active 1.0 EcoBoost Manuell /125hk/Låg skatt/,169900kr,"302 41 Halmstad, Halland",Nov 2020,3850 mil,1.0L Petrol,Manual,126 HP (92 kW)
MG ZS EV LHD 45KWH COMFORT,139900kr,"754 54 Uppsala, Uppsala",2020,5673 mil,Electric,≈ 263 km,Automatic
MG ZS ZS EVEV LHD 45KWH LUXURY MY21,149900kr,"754 54 Uppsala, Uppsala",2020,7747 mil,Electric,≈ 263 km,Automatic
MG ZS EV LHD 45KWH LUXURY MY21,149900kr,"582 72 Linköping, Östergötland",2020,7443 mil,Electric,≈ 263 km,Automatic
Kia e-Niro ADVANCE / GODKÄND,269900kr,"431 68 Mölndal, Västra Götaland",2021,4246 mil,Electric,≈ 455 km,Automatic
Kia e-Niro E-NiroADVANCE,249900kr,"425 37 HISINGS KÄRRA, Västra Götaland",2021,4150 mil,Electric,≈ 455 km,Automatic
Nissan Leaf N-CONNECTA 40 KWH 150HK | APPLE CARPLAY | 360°,159800kr,"163 53 Spånga, Stockholm",2021,5340 mil,Electric,≈ 270 km,Automatic
Ford Kuga ST-Line X PHEV 64KM / Drag / B&O,269900kr,"754 54 Uppsala, Uppsala",2021,9900 mil,2.5L Hybrid,Automatic,225 HP (165 kW)
MG ZS ZS EVEV LHD 45KWH LUXURY MY21,149900kr,"425 37 HISINGS KÄRRA, Västra Götaland",2021,6348 mil,Electric,≈ 263 km,Automatic
Kia e-Niro ADVANCE 64kWh,259900kr,"431 68 Mölndal, Västra Götaland",2021,6599 mil,Electric,≈ 455 km,Automatic
Kia e-Niro ADVANCE/VINTERHJUL,259900kr,"431 68 Mölndal, Västra Götaland",2021,6450 mil,Electric,≈ 455 km,Automatic
Kia e-Niro ADVANCE Godkänd,259900kr,"18360 Täby, Stockholm",2021,3961 mil,Electric,≈ 455 km,Automatic
