,Name,Price,Location,Model_Year,Mileage,Fuel_Type,Transmission,Year,Price_per_Mile,Brand,Brand_Model,Fuel,County
0,Ford Kuga Titanium PHEV 225hk Automat,259900,"141 74 Segeltorp, Stockholm",2021,4729,2.5L Hybrid,Automatic,2021,54.958765066610276,Ford,Ford Kuga,Hybrid,Stockholm
1,Ford Kuga Titanium PHEV FWD 225hk Automat,259900,"141 74 Segeltorp, Stockholm",2022,4237,2.5L Hybrid,Automatic,2022,61.3405711588388,Ford,Ford Kuga,Hybrid,Stockholm
2,Ford Kuga Plug-In Hybrid 225hk ST-Line X | Kamera | adaptiv fart,299900,"425 37 Hisings Kärra, Västra Götaland",2022,6260,2.5L Hybrid,Automatic,2022,47.9073482428115,Ford,Ford Kuga,Hybrid,Västra Götaland
3,Ford Puma ST-Line Hybrid | Vinterhjul på köpet | LANSERINGSH,282900,"749 47 Enköping, Uppsala",2025,1,1.0L Hybrid,Manual,2025,282900.0,Ford,Ford Puma,Hybrid,Uppsala
4,Ford Puma ST-Line 125Hk Hybrid Aut | Gratis Vinterhjul,298900,"749 47 Enköping, Uppsala",2025,2,1.0L Hybrid,Automatic,2025,149450.0,Ford,Ford Puma,Hybrid,Uppsala
5,Ford Puma PumaTITANIUM 1.0 ECOB MHEV 125HK AUT,229900,"331 44 Värnamo, Jönköping",2023,2265,1.0L Hybrid,Automatic,2023,101.50110375275938,Ford,Ford Puma,Hybrid,Jönköping
6,"Ford Puma ST-Line1.0 EcoBoost Hybrid Manuell, 125hk, 2024",282900,"374 32 Karlshamn, Blekinge",2024,1,1.0L Hybrid,Manual,2024,282900.0,Ford,Ford Puma,Hybrid,Blekinge
7,Ford Puma ST-Line Aut 125Hk Facelift | Lagerbil,298900,"331 44 Värnamo, Jönköping",2024,1,1.0L Petrol,Automatic,2024,298900.0,Ford,Ford Puma,Petrol,Jönköping
8,Ford Puma ST-Line Aut 125Hk Facelift | Lagerbil,298900,"331 44 Värnamo, Jönköping",2024,1,1.0L Petrol,Automatic,2024,298900.0,Ford,Ford Puma,Petrol,Jönköping
9,Ford Puma ST-Line Aut 125Hk Facelift | Lagerbil,298900,"331 44 Värnamo, Jönköping",2024,1,1.0L Petrol,Automatic,2024,298900.0,Ford,Ford Puma,Petrol,Jönköping
